story,story_uid,sound_id,kind,start,sound,onset,duration,orig_time,extras,phoneme,sequence_id,condition,word_index,speech_rate,voice,pronounced,word
cable_spool_fort,1.0,0.0,phoneme,8.309999,stimuli/audio/cable_spool_fort_0.wav,37.37,0.0999999999999996,2000-01-01 00:00:00+00:00,{},s_B,3.0,sentence,3.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,word,8.309999,stimuli/audio/cable_spool_fort_0.wav,37.37,0.3600000000000012,2000-01-01 00:00:00+00:00,{},,3.0,sentence,3.0,190.0,Samantha,1.0,said
cable_spool_fort,1.0,0.0,phoneme,8.409999,stimuli/audio/cable_spool_fort_0.wav,37.47,0.1400000000000005,2000-01-01 00:00:00+00:00,{},eh_I,3.0,sentence,3.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,phoneme,8.549999,stimuli/audio/cable_spool_fort_0.wav,37.61,0.120000000000001,2000-01-01 00:00:00+00:00,{},d_E,3.0,sentence,3.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,phoneme,8.98,stimuli/audio/cable_spool_fort_0.wav,38.04,0.0899999999999998,2000-01-01 00:00:00+00:00,{},hh_B,4.0,sentence,0.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,word,8.98,stimuli/audio/cable_spool_fort_0.wav,38.04,0.1699999999999999,2000-01-01 00:00:00+00:00,{},,4.0,sentence,0.0,190.0,Samantha,1.0,He
cable_spool_fort,1.0,0.0,phoneme,9.07,stimuli/audio/cable_spool_fort_0.wav,38.13,0.08,2000-01-01 00:00:00+00:00,{},iy_E,4.0,sentence,0.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,phoneme,9.15,stimuli/audio/cable_spool_fort_0.wav,38.21,0.0899999999999998,2000-01-01 00:00:00+00:00,{},w_B,4.0,sentence,1.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,word,9.15,stimuli/audio/cable_spool_fort_0.wav,38.21,0.2999999999999989,2000-01-01 00:00:00+00:00,{},,4.0,sentence,1.0,190.0,Samantha,1.0,wished
cable_spool_fort,1.0,0.0,phoneme,9.24,stimuli/audio/cable_spool_fort_0.wav,38.3,0.08,2000-01-01 00:00:00+00:00,{},ih_I,4.0,sentence,1.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,phoneme,9.32,stimuli/audio/cable_spool_fort_0.wav,38.38,0.0600000000000005,2000-01-01 00:00:00+00:00,{},sh_I,4.0,sentence,1.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,phoneme,9.38,stimuli/audio/cable_spool_fort_0.wav,38.44,0.0699999999999985,2000-01-01 00:00:00+00:00,{},t_E,4.0,sentence,1.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,phoneme,9.45,stimuli/audio/cable_spool_fort_0.wav,38.51,0.0600000000000005,2000-01-01 00:00:00+00:00,{},r_B,4.0,sentence,2.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,word,9.45,stimuli/audio/cable_spool_fort_0.wav,38.51,0.2100000000000008,2000-01-01 00:00:00+00:00,{},,4.0,sentence,2.0,190.0,Samantha,1.0,Roy
cable_spool_fort,1.0,0.0,phoneme,9.51,stimuli/audio/cable_spool_fort_0.wav,38.57,0.1500000000000003,2000-01-01 00:00:00+00:00,{},oy_E,4.0,sentence,2.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,phoneme,10.03,stimuli/audio/cable_spool_fort_0.wav,39.09,0.0700000000000002,2000-01-01 00:00:00+00:00,{},f_B,4.0,sentence,5.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,word,10.03,stimuli/audio/cable_spool_fort_0.wav,39.09,0.2599999999999998,2000-01-01 00:00:00+00:00,{},,4.0,sentence,5.0,190.0,Samantha,1.0,fall
cable_spool_fort,1.0,0.0,phoneme,10.1,stimuli/audio/cable_spool_fort_0.wav,39.16,0.1300000000000007,2000-01-01 00:00:00+00:00,{},ao_I,4.0,sentence,5.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,phoneme,10.23,stimuli/audio/cable_spool_fort_0.wav,39.29,0.0599999999999987,2000-01-01 00:00:00+00:00,{},l_E,4.0,sentence,5.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,phoneme,10.29,stimuli/audio/cable_spool_fort_0.wav,39.35,0.1000000000000014,2000-01-01 00:00:00+00:00,{},f_B,4.0,sentence,6.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,word,10.29,stimuli/audio/cable_spool_fort_0.wav,39.35,0.1700000000000017,2000-01-01 00:00:00+00:00,{},,4.0,sentence,6.0,190.0,Samantha,1.0,for
cable_spool_fort,1.0,0.0,phoneme,10.39,stimuli/audio/cable_spool_fort_0.wav,39.45,0.0700000000000002,2000-01-01 00:00:00+00:00,{},er_E,4.0,sentence,6.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,phoneme,10.46,stimuli/audio/cable_spool_fort_0.wav,39.52,0.0599999999999987,2000-01-01 00:00:00+00:00,{},dh_B,4.0,sentence,7.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,word,10.46,stimuli/audio/cable_spool_fort_0.wav,39.52,0.2399999999999984,2000-01-01 00:00:00+00:00,{},,4.0,sentence,7.0,190.0,Samantha,1.0,that
cable_spool_fort,1.0,0.0,phoneme,10.52,stimuli/audio/cable_spool_fort_0.wav,39.58,0.08,2000-01-01 00:00:00+00:00,{},ae_I,4.0,sentence,7.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,phoneme,10.6,stimuli/audio/cable_spool_fort_0.wav,39.66,0.0999999999999996,2000-01-01 00:00:00+00:00,{},t_E,4.0,sentence,7.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,phoneme,10.71,stimuli/audio/cable_spool_fort_0.wav,39.77,0.1099999999999994,2000-01-01 00:00:00+00:00,{},g_B,4.0,sentence,8.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,word,10.71,stimuli/audio/cable_spool_fort_0.wav,39.77,0.2599999999999998,2000-01-01 00:00:00+00:00,{},,4.0,sentence,8.0,190.0,Samantha,1.0,gag
cable_spool_fort,1.0,0.0,phoneme,10.82,stimuli/audio/cable_spool_fort_0.wav,39.88,0.08,2000-01-01 00:00:00+00:00,{},ae_I,4.0,sentence,8.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,phoneme,10.9,stimuli/audio/cable_spool_fort_0.wav,39.96,0.0700000000000002,2000-01-01 00:00:00+00:00,{},g_E,4.0,sentence,8.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,phoneme,10.98,stimuli/audio/cable_spool_fort_0.wav,40.04,0.0700000000000002,2000-01-01 00:00:00+00:00,{},eh_B,4.0,sentence,9.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,word,10.98,stimuli/audio/cable_spool_fort_0.wav,40.04,0.2599999999999998,2000-01-01 00:00:00+00:00,{},,4.0,sentence,9.0,190.0,Samantha,1.0,every
cable_spool_fort,1.0,0.0,phoneme,11.05,stimuli/audio/cable_spool_fort_0.wav,40.11,0.0699999999999985,2000-01-01 00:00:00+00:00,{},v_I,4.0,sentence,9.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,phoneme,11.12,stimuli/audio/cable_spool_fort_0.wav,40.18,0.0500000000000007,2000-01-01 00:00:00+00:00,{},r_I,4.0,sentence,9.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,phoneme,11.17,stimuli/audio/cable_spool_fort_0.wav,40.23,0.0700000000000002,2000-01-01 00:00:00+00:00,{},iy_E,4.0,sentence,9.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,phoneme,11.24,stimuli/audio/cable_spool_fort_0.wav,40.3,0.08,2000-01-01 00:00:00+00:00,{},t_B,4.0,sentence,10.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,word,11.24,stimuli/audio/cable_spool_fort_0.wav,40.3,0.4700000000000006,2000-01-01 00:00:00+00:00,{},,4.0,sentence,10.0,190.0,Samantha,1.0,time
cable_spool_fort,1.0,0.0,phoneme,11.32,stimuli/audio/cable_spool_fort_0.wav,40.38,0.2599999999999998,2000-01-01 00:00:00+00:00,{},ay_I,4.0,sentence,10.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,phoneme,11.58,stimuli/audio/cable_spool_fort_0.wav,40.64,0.1300000000000007,2000-01-01 00:00:00+00:00,{},m_E,4.0,sentence,10.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,phoneme,11.87,stimuli/audio/cable_spool_fort_0.wav,40.93,0.0700000000000002,2000-01-01 00:00:00+00:00,{},g_B,4.0,sentence,11.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,word,11.87,stimuli/audio/cable_spool_fort_0.wav,40.93,0.1800000000000015,2000-01-01 00:00:00+00:00,{},,4.0,sentence,11.0,190.0,Samantha,1.0,get
cable_spool_fort,1.0,0.0,phoneme,11.94,stimuli/audio/cable_spool_fort_0.wav,41.0,0.0700000000000002,2000-01-01 00:00:00+00:00,{},eh_I,4.0,sentence,11.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,phoneme,12.01,stimuli/audio/cable_spool_fort_0.wav,41.07,0.0400000000000009,2000-01-01 00:00:00+00:00,{},t_E,4.0,sentence,11.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,phoneme,12.05,stimuli/audio/cable_spool_fort_0.wav,41.11,0.0699999999999985,2000-01-01 00:00:00+00:00,{},m_B,4.0,sentence,12.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,word,12.05,stimuli/audio/cable_spool_fort_0.wav,41.11,0.1699999999999999,2000-01-01 00:00:00+00:00,{},,4.0,sentence,12.0,190.0,Samantha,1.0,me
cable_spool_fort,1.0,0.0,phoneme,12.12,stimuli/audio/cable_spool_fort_0.wav,41.18,0.1000000000000014,2000-01-01 00:00:00+00:00,{},iy_E,4.0,sentence,12.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,word,12.219999,stimuli/audio/cable_spool_fort_0.wav,41.28,0.0600000000000005,2000-01-01 00:00:00+00:00,{},,4.0,sentence,13.0,190.0,Samantha,1.0,a
cable_spool_fort,1.0,0.0,phoneme,12.219999,stimuli/audio/cable_spool_fort_0.wav,41.28,0.0600000000000005,2000-01-01 00:00:00+00:00,{},ah_S,4.0,sentence,13.0,190.0,Samantha,1.0,
